run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
295	65	5969	2	1	14	1	0	1002	380.48	-649.09	-153.36	856.40	278.8	14	1000080160	10	0
295	65	5981	2	0	12	0	10	1000	2412.79	76.08	-115.57	446.58	1512.2	11	1000180400	13	1
295	65	5981	2	1	14	0	0	1001	547.60	57.85	-27.25	377.74	110.1	13	1000180400	10	1
295	65	8475	2	0	14	0	10	1000	390.69	8.39	-2.66	723.11	652.7	13	1000280590	12	0
295	65	8475	2	1	12	0	2	1091	3302.45	-68.85	-114.05	454.95	946.5	11	1000180400	31	1
295	65	8837	1	0	12	0	0	1001	667.28	-60.39	84.24	145.13	973.2	11	1000180400	12	1
295	65	8930	3	0	12	0	0	1001	1276.61	-115.21	-141.21	95.56	1029.0	11	1000180400	9	1
295	65	8930	3	1	14	0	0	1001	627.04	-620.02	-70.05	-464.74	669.7	13	1000130270	12	0
295	65	8930	3	2	14	1	0	1002	432.63	68.98	164.97	-381.18	806.8	14	1000080160	10	0
295	65	9067	1	0	12	0	2	1091	3787.83	79.60	-111.43	301.97	1527.0	11	1000180400	26	1
295	65	10036	1	0	12	0	1	1004	462.87	-35.08	32.46	164.64	1333.8	11	1000180400	16	1
295	65	10796	3	0	14	0	1	1004	1981.04	-255.07	-197.91	423.79	93.0	13	1000180400	13	0
295	65	10796	3	1	-12	0	2	1091	1682.56	31.11	4.86	24.34	1006.6	-11	1000180400	20	1
295	65	10796	3	2	14	1	0	1002	1045.11	650.87	-246.44	-88.79	1247.7	14	1000200400	12	0
291	52	93	1	0	12	0	1	1003	1925.51	-44.04	45.50	275.84	976.5	11	1000180400	11	1
291	52	1290	1	0	12	0	0	1001	998.95	-191.18	-66.46	486.22	529.9	11	1000180400	20	1
291	52	1981	3	0	14	0	0	1001	316.09	-535.62	-170.27	141.83	442.5	13	1000110230	8	0
291	52	1981	3	1	14	0	10	1000	460.36	-474.63	1.84	-338.96	88.1	13	1000200400	17	0
291	52	1981	3	2	12	0	1	1003	1247.09	83.63	162.86	135.20	1012.0	11	1000180400	13	1
291	52	2953	1	0	12	0	1	1004	1399.27	-74.96	51.03	483.65	511.8	11	1000180400	21	1
291	52	5271	1	0	12	0	1	1003	426.00	193.91	69.74	327.11	884.5	11	1000180400	13	1
291	52	5987	3	0	14	0	1	1003	702.17	-626.39	-181.42	797.82	691.9	13	1000200400	16	0
291	52	5987	3	1	14	0	10	1000	696.13	47.60	-627.79	872.41	847.2	13	1000080160	12	0
291	52	5987	3	2	12	0	1	1004	1483.20	99.70	-185.80	387.24	697.9	11	1000180400	14	1
291	52	6321	2	0	12	0	0	1001	505.49	-34.15	-149.91	86.41	1484.3	11	1000180400	27	1
291	52	6321	2	1	14	1	1	1000	3039.70	-1.87	-5.98	-347.65	1032.4	14	1000080160	19	0
291	52	6372	3	0	14	0	0	1001	298.36	164.24	-331.16	-493.45	649.6	13	1000140280	9	0
291	52	6372	3	1	12	0	0	1001	772.34	108.88	-126.29	459.92	607.3	11	1000180400	9	1
291	52	6372	3	2	14	0	0	1001	1296.53	23.72	89.85	111.86	1313.9	13	1000180400	10	1
291	52	7370	2	0	12	0	1	1004	2706.29	19.27	177.73	385.50	944.7	11	1000180400	13	1
291	52	7370	2	1	14	0	0	1001	576.43	-218.19	-513.08	-476.10	1556.4	13	1000080160	18	0
291	52	8141	2	0	14	1	0	1002	564.19	-152.86	-453.20	920.38	562.1	14	1000080160	10	0
291	52	8141	2	1	12	0	0	1001	347.81	-69.08	-184.50	416.30	755.3	11	1000180400	8	1
291	52	9006	1	0	12	0	10	1000	2194.32	-144.82	73.53	66.68	703.8	11	1000180400	11	1
291	52	11557	3	0	14	0	0	1001	507.22	-87.87	-511.34	64.28	686.8	13	1000080160	10	0
291	52	11557	3	1	14	0	0	1001	259.96	374.78	-29.84	232.70	1392.6	13	1000260560	25	0
291	52	11557	3	2	12	0	1	1003	925.88	-169.81	-104.12	254.04	86.9	11	1000180400	17	1
291	52	12313	2	0	12	0	10	1000	2927.80	50.74	82.33	213.97	1431.0	11	1000180400	21	1
291	52	12313	2	1	14	0	0	1001	764.14	629.74	156.96	918.97	1187.3	13	1000080160	9	0
292	49	382	3	0	14	0	0	1001	630.77	86.57	-71.77	-139.91	453.1	13	1000260560	19	0
292	49	382	3	1	12	0	2	1091	2203.60	184.81	104.47	66.90	1466.2	11	1000180400	13	1
292	49	382	3	2	14	0	2	1091	1972.53	-309.36	196.86	-415.24	1409.9	13	1000080160	12	0
292	49	3165	2	0	12	0	1	1003	838.29	-99.34	42.24	344.25	187.1	11	1000180400	11	1
292	49	3165	2	1	14	0	0	1001	475.44	-1.21	-506.58	788.64	711.9	13	1000140280	9	0
292	49	4569	2	0	12	0	0	1001	1796.51	-137.66	-95.87	168.28	995.5	11	1000180400	16	1
292	49	4569	2	1	14	1	0	1002	80.55	194.36	39.76	31.03	1290.5	14	1000180400	10	1
292	49	5314	2	0	14	0	0	1001	439.87	149.03	-489.10	721.78	84.7	13	1000140280	9	0
292	49	5314	2	1	12	0	0	1001	681.61	-83.78	-92.65	179.23	293.4	11	1000180400	9	1
292	49	6739	3	0	14	0	10	1000	1313.25	-2.10	58.38	471.38	850.0	13	1000180400	16	1
292	49	6739	3	1	12	0	1	1003	1206.73	-113.75	97.41	435.47	851.3	11	1000180400	13	1
292	49	6739	3	2	14	0	0	1001	553.88	-156.21	24.90	48.10	896.7	13	1000180400	9	1
292	49	6954	2	0	12	0	10	1000	432.97	75.74	-76.14	391.79	148.6	11	1000180400	22	1
292	49	6954	2	1	14	1	1	1008	3038.42	-446.09	-541.29	1231.92	783.7	14	1000080160	13	0
292	49	8234	2	0	12	0	10	1000	1009.41	-166.33	-188.15	39.88	554.4	11	1000180400	12	1
292	49	8234	2	1	14	0	0	1001	458.39	-353.87	218.61	-508.85	1046.4	13	1000080160	9	0
292	49	9392	1	0	12	0	1	1005	4391.11	-0.60	-163.25	84.67	1238.1	11	1000180400	11	1
292	49	9654	1	0	12	0	1	1003	2511.90	-31.26	44.12	8.89	173.5	11	1000180400	12	1
292	49	12417	3	0	14	0	1	1003	1373.27	-493.33	-132.12	-115.98	187.6	13	1000080160	14	0
292	49	12417	3	1	12	0	0	1001	1706.01	-147.17	152.68	54.92	1518.8	11	1000180400	19	1
292	49	12417	3	2	14	0	0	1001	474.35	553.47	97.61	106.93	270.5	13	1000080160	9	0
300	21	2622	2	0	14	0	0	1001	1099.39	54.79	26.52	718.28	1199.7	13	1000060120	8	0
300	21	2622	2	1	12	0	0	1001	310.73	-185.03	191.60	444.60	586.5	11	1000180400	25	1
300	21	5092	3	0	12	0	0	1001	419.24	102.01	-196.80	94.60	1312.3	11	1000180400	9	1
300	21	5092	3	1	-14	1	0	1002	319.79	-488.45	-541.66	88.24	1446.1	-14	1000130270	9	0
300	21	5092	3	2	14	0	0	1001	549.02	69.81	70.29	591.75	1175.6	13	1000180400	31	0
300	21	5839	3	0	12	0	1	1004	668.45	160.04	-60.43	449.82	624.0	11	1000180400	12	1
300	21	5839	3	1	14	0	2	1091	2001.44	656.74	527.59	-88.01	1007.2	13	1000080160	13	0
300	21	5839	3	2	14	0	1	1004	878.87	-182.42	203.33	774.12	881.2	13	1000060120	12	0
300	21	8042	1	0	12	0	0	1001	738.32	-15.75	89.82	221.51	351.9	11	1000180400	14	1
300	21	9352	4	0	12	0	2	1091	2614.42	40.54	194.89	429.91	340.9	11	1000180400	12	1
300	21	9352	4	1	14	0	0	1001	391.62	-574.47	242.50	992.64	414.2	13	1000200400	8	0
300	21	9352	4	2	14	0	1	1000	3114.15	38.57	-139.29	-518.83	288.0	13	1000140280	14	0
300	21	9352	4	3	14	0	0	1001	254.00	-176.41	-526.16	137.86	159.5	13	1000110230	8	0
300	21	9929	1	0	12	0	10	1000	1848.05	-192.20	-148.04	106.02	611.9	11	1000180400	12	1
300	21	10477	2	0	14	0	1	1005	5005.68	-274.31	298.01	-571.28	248.6	13	1000130270	12	0
300	21	10477	2	1	12	0	0	1001	747.21	-80.40	-162.37	304.97	1357.7	11	1000180400	12	1
300	21	10938	1	0	12	0	1	1003	1825.84	-56.22	76.86	190.40	1354.7	11	1000180400	11	1
296	78	4022	2	0	-12	0	0	1001	665.28	194.94	-200.34	256.87	1051.4	-11	1000180400	8	0
296	78	4022	2	1	14	1	0	1002	1142.99	226.46	-481.60	192.95	408.1	14	1000140280	16	0
296	78	4279	3	0	12	0	1	1000	2149.53	-16.66	-38.69	5.86	1385.9	11	1000180400	13	1
296	78	4279	3	1	14	0	0	1001	330.66	-6.86	28.37	-326.62	1017.9	13	1000140280	8	0
296	78	4279	3	2	14	0	10	1000	769.67	174.99	-459.97	553.92	191.0	13	1000080160	12	0
296	78	7636	2	0	14	0	0	1001	519.74	0.25	2.51	81.19	613.1	13	1000260560	9	1
296	78	7636	2	1	12	0	1	1005	1919.32	126.78	27.65	62.45	534.8	11	1000180400	12	1
296	78	9082	1	0	12	0	10	1000	4178.96	184.62	14.33	173.37	653.1	11	1000180400	28	1
296	78	9268	3	0	-12	0	0	1001	417.42	-33.90	-149.63	108.84	1161.2	-11	1000180400	8	1
296	78	9268	3	1	14	0	0	1001	894.13	-585.66	153.58	893.45	107.8	13	1000200400	9	0
296	78	9268	3	2	14	0	1	1004	1134.53	-3.76	146.85	222.86	977.1	13	1000180400	12	1
296	78	10126	2	0	12	0	1	1003	1183.01	137.33	-83.78	458.13	794.3	11	1000180400	12	1
296	78	10126	2	1	14	0	0	1001	676.14	124.00	40.85	468.69	1232.3	13	1000180400	9	1
296	78	11863	1	0	12	0	0	1001	665.10	82.87	-29.10	469.44	569.0	11	1000180400	9	1
291	19	562	3	0	14	0	0	1001	508.74	-91.13	206.05	185.80	427.8	13	1000180400	9	0
291	19	562	3	1	12	0	2	1091	889.89	124.05	85.75	320.01	546.4	11	1000180400	15	1
