run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
715	34	1	4	2	14	0	10	1000	816.19	89.39	154.02	12.16	782.5	13	1000180400	12	1
715	34	1	4	3	14	0	0	1001	633.39	-224.97	21.25	-405.89	1541.6	13	1000140280	9	0
715	34	2	3	0	14	1	0	1002	1023.93	-181.67	26.04	992.43	661.2	14	1000140280	12	0
715	34	2	3	1	14	1	2	1092	1704.34	-177.36	12.50	194.74	390.8	14	1000180400	17	1
715	34	2	3	2	14	0	0	1001	600.44	231.03	-219.65	964.86	980.7	13	1000080160	22	0
715	34	3	1	0	14	1	1	1009	759.37	-128.97	177.67	356.80	92.9	14	1000180400	12	1
715	34	13	1	0	14	0	1	1004	2561.27	-149.81	117.46	546.00	1061.4	13	1000180400	15	0
715	34	17	2	0	14	1	1	1009	2348.27	654.01	-72.70	579.16	194.5	14	1000080160	12	0
715	34	17	2	1	14	0	1	1003	1422.10	73.48	-68.34	156.50	899.7	13	1000180400	16	1
715	34	20	2	0	14	1	0	1002	926.92	78.02	147.89	65.16	799.6	14	1000180400	25	1
715	34	20	2	1	14	0	0	1001	425.53	330.64	154.41	-471.63	555.1	13	1000200400	8	0
715	34	42	1	0	14	1	1	1007	651.50	-134.89	-264.84	191.80	312.5	14	1000180400	12	0
715	34	43	1	0	14	0	0	1001	1197.69	-84.34	92.68	352.76	791.2	13	1000180400	9	1
715	34	50	3	0	14	0	1	1004	1084.51	116.42	-70.27	466.68	966.1	13	1000180400	16	1
715	34	50	3	1	14	0	0	1001	1203.88	-224.88	2.13	179.67	66.5	13	1000180400	9	0
715	34	50	3	2	14	0	1	1004	766.42	-119.74	-26.91	512.74	892.3	13	1000180400	12	0
714	12	1	1	0	14	0	10	1000	427.05	30.10	-116.97	263.82	1128.3	13	1000180400	11	1
714	12	2	1	0	14	0	10	1000	1259.11	31.29	-194.04	480.03	1497.8	13	1000180400	25	1
714	12	4	2	0	14	0	10	1000	896.19	73.20	-269.36	105.72	575.5	13	1000180400	43	0
714	12	4	2	1	14	0	10	1000	418.45	-689.24	-394.53	-79.65	798.3	13	1000140280	38	0
714	12	6	1	0	14	0	1	1003	993.87	24.37	90.62	199.14	406.9	13	1000180400	13	1
714	12	10	2	0	-14	1	10	1000	551.40	59.39	24.14	5.27	1482.1	-14	1000180400	45	1
714	12	10	2	1	14	1	0	1002	561.39	-413.71	-458.40	728.71	1372.4	14	1000200400	10	0
714	12	17	2	0	14	0	1	1003	1451.50	51.77	-198.57	503.18	379.7	13	1000180400	11	0
